Cardinal Electors(135),Age,Date ofBirth,gc_id
"Nycz, Kazimierz(75),Cardinal-PriestofSs. Silvestro e Martino ai Monti,Metropolitan Archbishopemeritus ofWarszawa(Poland)andOrdinaryemeritus ofPolandof theEastern Rite(Poland)",75,1950.02.01,83
"Aguiar Retes, Carlos(75),Cardinal-PriestofSs. Fabiano e Venanzio a Villa FiorelliandMetropolitan ArchbishopofMéxico(Mexico)",75,1950.01.09,84
"Gomes Furtado, Arlindo(75),Cardinal-PriestofS. TimoteoandBishopofSantiago de Cabo Verde(Cabo Verde)",75,1949.11.15,85
"Harvey, James Michael(75),Cardinal-PriestofS. Pio V a Villa Carpegnapro hac viceTitleandArchpriestofPapal Basilica of Saint Paul Outside-the-Walls",75,1949.10.20,86
"Arborelius, Anders,O.C.D.(75),Cardinal-PriestofS. Maria degli Angeli,BishopofStockholm(Sweden)andMemberofCouncil for the Economy",75,1949.09.24,87
"Scherer, Odilo Pedro(75),Cardinal-PriestofS. Andrea al Quirinale,Metropolitan ArchbishopofSão Paulo(Brazil)andMemberofCouncil for the Economy",75,1949.09.21,88
"Kovithavanij, Francis Xavier Kriengsak(75),Cardinal-PriestofS. Maria AddolorataandMetropolitan Archbishopemeritus ofBangkok(Thailand)",75,1949.06.27,89
"DiNardo, Daniel Nicholas(75),Cardinal-PriestofS. EusebioandMetropolitan Archbishopemeritus ofGalveston–Houston(USA)",75,1949.05.23,90
"Bozanić, Josip(76),Cardinal-PriestofS. Girolamo dei Croati,Metropolitan Archbishopemeritus ofZagreb(Croatia)andformerVice-PresidentofCroatian Bishops’ Conference",76,1949.03.20,91
"Cupich, Blase Joseph(76),Cardinal-PriestofS. Bartolomeo all’IsolaandMetropolitan ArchbishopofChicago(USA)",76,1949.03.19,92
"Brenes Solórzano, Leopoldo José(76),Cardinal-PriestofS. Gioacchino ai Prati di Castello,Metropolitan ArchbishopofManagua(Nicaragua)andVice-PresidentofEpiscopal Conference of Nicaragua",76,1949.03.07,93
"Maeda, Thomas Aquino Manyo (トマス・アクィナス 前田万葉)(76),Cardinal-PriestofS. PudenzianaandMetropolitan ArchbishopofOsaka–Takamatsu 大阪高松(Japan)",76,1949.03.03,94
"Robles Ortega, José Francisco(76),Cardinal-PriestofS. Maria della PresentazioneandMetropolitan ArchbishopofGuadalajara(Mexico)",76,1949.03.02,95
"Bo, Charles Maung,S.D.B.(76),Cardinal-PriestofS. Ireneo a Centocelle,Metropolitan ArchbishopofYangon(Myanmar)andPresidentofMyanmar Catholic Bishops’ Conference",76,1948.10.29,96
"Turkson, Peter Kodwo Appiah(76),Cardinal-PriestofS. Liborio,ChancellorofPontifical Academy of Social Sciences,ChancellorofPontifical Academies of SciencesandMetropolitan Archbishopemeritus ofCape Coast(Ghana)",76,1948.10.11,97
"Petrocchi, Giuseppe(76),Cardinal-PriestofS. Giovanni Battista dei Fiorentini,MemberofCouncil for the Economy,MemberofCommission of Cardinals overseeing the Institute for Works of ReligionandMetropolitan Archbishopemeritus ofL’Aquila(Italy)",76,1948.08.19,98
"Macário do Nascimento Clemente, Manuel José(76),Cardinal-PriestofS. Antonio in Campo MarzioandPatriarchemeritus ofLisboa(Portugal)",76,1948.07.16,99
"Souraphiel, Berhaneyesus Demerew,C.M.(76)(Ethiopic Rite),Cardinal-PriestofS. Romano Martire,MetropolitanofAddis Abebaof theEthiopics(Ethiopia),PresidentofInterritual Episcopal Conference of EthiopiaandPresidentofCouncil of the Ethiopian Church",76,1948.07.14,100
"García Rodríguez, Juan de la Caridad(76),Cardinal-PriestofSs. Aquila e PriscillaandMetropolitan ArchbishopofLa Habana(Cuba)",76,1948.07.11,101
"Sako, Louis Raphaël I (Louis)(76)(Chaldean Rite),Cardinal-Patriarch,PatriarchofBaghdadof theChaldeans(Iraq),PresidentofSynod of the Chaldean Church,PresidentofAssembly of the Catholic Bishops of IraqandMemberofCouncil for the Economy",76,1948.07.04,102
"Burke, Raymond Leo(76),Cardinal-PriestofS. Agata de’ Gotipro hac viceTitle,Metropolitan Archbishopemeritus ofSaint Louis(USA)andPatronemeritus ofSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)",76,1948.06.30,103
"Dew, John Atcherley(76),Cardinal-PriestofS. IppolitoandMilitary Ordinaryemeritus ofNew Zealand(New Zealand)",76,1948.05.05,104
"Müller, Gerhard Ludwig(77),Cardinal-PriestofS. Agnese in Agonepro hac viceTitle,Bishopemeritus ofRegensburg(Germany),Prefectemeritus ofCongregation for the Doctrine of the Faith,Presidentemeritus ofPontifical Commission “Ecclesia Dei”,Presidentemeritus ofPontifical Biblical CommissionandformerPresidentofInternational Theological Commission",77,1947.12.31,105
"Semeraro, Marcello(77),Cardinal-DeaconofS. Maria in Domnica,PrefectofDicastery for the Causes of Saints,Apostolic AdministratorofSanta Maria di Grottaferrataof theItalo-Albanese(Italy),Pontifical DelegateforItalian Basilian Order of GrottaferrataandBishopemeritus ofAlbano(Italy)",77,1947.12.22,106
"Gregory, Wilton Daniel(77),Cardinal-PriestofImmacolata Concezione di Maria a GrottarossaandMetropolitan Archbishopemeritus ofWashington(USA)",77,1947.12.07,107
"Poli, Mario Aurelio(77),Cardinal-PriestofS. Roberto Bellarmino,Metropolitan Archbishopemeritus ofBuenos Aires(Argentina)andOrdinaryemeritus ofArgentinaof theEastern Rite(Argentina)",77,1947.11.29,108
"Ranjith Patabendige Don, Albert Malcolm(77),Cardinal-PriestofS. Lorenzo in LucinaandMetropolitan ArchbishopofColombo(Sri Lanka)",77,1947.11.15,109
"Farrell, Kevin Joseph(77),Cardinal-DeaconofS. Giuliano Martire,PrefectofDicastery for the Laity, Family and Life,PresidentofCommittee for Investments,PresidentofCommission for Confidential Matters,Camerlengo of the Holy Roman ChurchofApostolic Camera,PresidentofSupreme Court of Vatican City StateandBishopemeritus ofDallas(USA)",77,1947.09.02,110
"Ramazzini Imeri, Álvaro Leonel(77),Cardinal-PriestofS. Giovanni Evangelista a SpinacetoandBishopofHuehuetenango(Guatemala)",77,1947.07.16,111
"De Kesel, Jozef(77),Cardinal-PriestofSs. Giovanni e PaoloandMilitary Ordinaryemeritus ofBelgium(Belgium)",77,1947.06.17,112
"dos Santos Marto, António Augusto(77),Cardinal-PriestofS. Maria sopra MinervaandBishopemeritus ofLeiria–Fátima(Portugal)",77,1947.05.05,113
"Bráz de Aviz, João(78),Cardinal-PriestofS. Elena fuori Porta Prenestinapro hac viceTitle,Metropolitan Archbishopemeritus ofBrasília(Brazil)andPrefectemeritus ofDicastery for Institutes of Consecrated Life and for Societies of Apostolic Life",78,1947.04.24,114
"Betori, Giuseppe(78),Cardinal-PriestofS. MarcelloandMetropolitan Archbishopemeritus ofFirenze(Italy)",78,1947.02.25,115
"Tscherrig, Emil Paul(78),Cardinal-DeaconofS. Giuseppe in Via TrionfaleandMemberofCommission of Cardinals overseeing the Institute for Works of Religion",78,1947.02.03,116
"Collins, Thomas Christopher(78),Cardinal-PriestofS. PatrizioandMetropolitan Archbishopemeritus ofToronto(Canada)",78,1947.01.16,117
"Czerny, Michael,S.J.(78),Cardinal-DeaconofS. Michele Arcangelo,PrefectofDicastery for Promoting Integral Human Development,PresidentofVatican COVID-19 CommissionandMemberofCouncil of the Section for Relations with States and International Organisations",78,1946.07.18,118
"Montenegro, Francesco(78),Cardinal-PriestofSs. Andrea e Gregorio al Monte Celio,Apostolic AdministratorofPiana degli Albanesiof theItalo-Albanese(Italy)andMetropolitan Archbishopemeritus ofAgrigento(Italy)",78,1946.05.22,119
"Omella Omella, Juan José(79),Cardinal-PriestofS. Croce in Gerusalemme,Metropolitan ArchbishopofBarcelona(Spain)andMemberofCouncil of Cardinals",79,1946.04.21,120
"Filoni, Fernando (斐洛尼)(79),Cardinal-BishopofNostra Signora di Coromoto in S. Giovanni di DioandGrand MasterofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)",79,1946.04.15,121
"Pierre, Christophe Louis Yves Georges(79),Cardinal-DeaconofS. Benedetto fuori Porta S. PaoloandApostolic NunciotoUnited States of America",79,1946.01.30,122
"Zenari, Mario(79),Cardinal-DeaconofS. Maria delle Grazie alle Fornaci fuori Porta CavalleggeriandApostolic NunciotoSyria",79,1946.01.05,123
"Njue, John(79),Cardinal-PriestofPreziosissimo Sangue di Nostro Signore Gesù CristoandMetropolitan Archbishopemeritus ofNairobi(Kenya)",79,1946.01.01,124
"Ouédraogo, Philippe Nakellentuba(79),Cardinal-PriestofS. Maria Consolatrice al TiburtinoandMetropolitan Archbishopemeritus ofOuagadougou(Burkina Faso)",79,1945.12.31,125
"Kutwa, Jean-Pierre(79),Cardinal-PriestofS. Emerenziana a Tor Fiorenza,Apostolic Administratorsede plenaofMan(Cote d’Ivoire)andMetropolitan Archbishopemeritus ofAbidjan(Cote d’Ivoire)",79,1945.12.22,126
"Nichols, Vincent Gerard(79),Cardinal-PriestofSS. Redentore e S. Alfonso in Via Merulana,Metropolitan ArchbishopofWestminster(England)andPresidentofBishops’ Conference of England and Wales",79,1945.11.08,127
"Cañizares Llovera, Antonio(79),Cardinal-PriestofS. PancrazioandMetropolitan Archbishopemeritus ofValencia(Spain)",79,1945.10.15,128
"Puljić, Vinko(79),Cardinal-PriestofS. Chiara a Vigna ClaraandMetropolitan Archbishopemeritus ofVrhbosna(Bosnia and Herzegovina)",79,1945.09.08,129
"Radcliffe, Timothy Peter Joseph,O.P.(79),Cardinal-DeaconofSS. Nomi di Gesù e Maria in Via LataandMaster of the Orderemeritus ofOrder of Preachers (Dominicans)",79,1945.08.22,130
"Coutts, Joseph(79),Cardinal-PriestofS. Bonaventura da BagnoregioandMetropolitan Archbishopemeritus ofKarachi(Pakistan)",79,1945.07.21,131
"Ryłko, Stanisław(79),Cardinal-PriestofS. Cuore di Cristo Repro hac viceTitleandArchpriestofPapal Basilica of Saint Mary Major",79,1945.07.04,132
"Sarah, Robert(79),Cardinal-PriestofS. Giovanni Bosco in Via Tuscolanapro hac viceTitle,Metropolitan Archbishopemeritus ofConakry(Guinea)andPrefectemeritus ofCongregation for Divine Worship and the Discipline of the Sacraments",79,1945.06.15,133
